Row Labels,Sum of qty
A102,300
A201,300
A202/04,6960
B134/2,450
B164,300
B166,300
B187,300
B196/01,3960
B197/01,3960
B202,24
B204,816
B210,720
B211,654
B212,756
B241/01,6488
BM86,744
BR10/01,6480
BR141/4,30
BR16/02,5954
BR25/12,720
BR25/13,6499
BR26/6,936
OR10/DT23,25000
OR15/17,8000
OR206/07,7020
OR210/2,1080
OR211/02,7956
OR216/01,9000
OR217/01,8064
OR219/DT1,11140
OR226/5,60
OR25/181,12096
OR25/DT10,13538
OR259/02,9972
OR299/01,9360
OR30/18,10008
OR30/DT4,4497
OR40/39,2016
OR41/13,7040
OR47/28,7488
OR59/9,1512
OR60/B11,3996
OR69/DT1,13064
OR71/10,7552
OR735/13,10048
OR804/03,8512
OR81/B11,6048
OR820/05,10008
OR824/08,7524
OR831/06,7936
OR843/04,1080
OR85/22,8064
OR85/SB02,1225
OR86/DT3,9199
OR860/03,6012
OR89/DT7,26299
OR99/B11,5328
OR99/DT6,14882
OR99/SB03,1450
P706/DT4,12313
P823/DT1,1366
P828,1176
P843/DT1,14250
P847/02,3024
P852/2,1428
P856,360
P858/SB01,5451
P861/02,9972
P880/DT1,11675
P892/02,9216
P900/02,5004
P902/DT1,6123
P946,1404
P947,1404
P975/01,8064
P981/01,8064
P982/01,8064
P983/01,8064
P984/01,7956
P991/01,6144
P993/01,6048
P994/01,6048
PL86/01,9972
PL93/DT1,30705
PM84/DT1,13176
PM91/DT1,28016
PM92/07,1080
PM98/DT1,24226
PM99/02,5004
S102/4,792
W145/DT1,22712
W148/2,1482
W156/02,180
W158/02,7960
W161,1326
W169,1530
W170/02,360
W170/2,1350
W178,1428
W180,1416
W187,1524
W188/01,180
W192/01,180
W194/01,7488
W209/01,8064
W210/01,8064
WL19/01,12516
WL20/01,14508
WM86/03,19980
WR105/10,8028
WR134/05,288
WR146/03,9972
WR149/3,1530
WR150/2,1308
WR155/03,7927
WR89/2,1326
WS1,108
Grand Total,749049
