Each Client SKU ID,Style,Color,Size,Total Available Quantity In CM,Kolkata
BPB167BLK12Y669,B167,BLK,12Y,117,3
BPB167BLK14Y669,B167,BLK,14Y,196,3
BPB167NYB12Y669,B167,NYB,12Y,52,3
BPB167NYB14Y669,B167,NYB,14Y,114,3
BPBR25BLK06Y,BR25,BLK,06Y,18,3
BPBR25TRN032,BR25,TRN,32,40,7
BPBR25TRN034,BR25,TRN,34,33,6
BSBR16BLK06Y429,BR16,BLK,06Y,165,10
BSBR16BLK08Y429,BR16,BLK,08Y,91,15
BSBR16BLK10Y429,BR16,BLK,10Y,382,20
BSBR16BLK12Y429,BR16,BLK,12Y,604,20
BSBR16BLK14Y429,BR16,BLK,14Y,600,10
BSBR16BOE06Y429,BR16,BOE,06Y,75,10
BSBR16BOE08Y429,BR16,BOE,08Y,69,12
BSBR16BOE10Y429,BR16,BOE,10Y,159,20
BSBR16BOE12Y429,BR16,BOE,12Y,294,20
BSBR16BOE14Y429,BR16,BOE,14Y,300,10
BSBR16NYB06Y429,BR16,NYB,06Y,75,10
BSBR16NYB08Y429,BR16,NYB,08Y,69,12
BSBR16NYB10Y429,BR16,NYB,10Y,191,20
BSBR16NYB12Y429,BR16,NYB,12Y,293,20
BSBR16NYB14Y429,BR16,NYB,14Y,295,10
BSBR16SKO06Y429,BR16,SKO,06Y,75,10
BSBR16SKO08Y429,BR16,SKO,08Y,68,12
BSBR16SKO10Y429,BR16,SKO,10Y,158,20
BSBR16SKO12Y429,BR16,SKO,12Y,286,20
BSBR16SKO14Y429,BR16,SKO,14Y,297,10
BSBR16WLG06Y429,BR16,WLG,06Y,84,10
BSBR16WLG08Y429,BR16,WLG,08Y,77,13
BSBR16WLG10Y429,BR16,WLG,10Y,167,20
BSBR16WLG12Y429,BR16,WLG,12Y,302,20
BSBR16WLG14Y429,BR16,WLG,14Y,309,10
BSBR26BLK030,BR26,BLK,30,18,3
BSBR26IRG032,BR26,IRG,32,20,3
BSBR26KHI032,BR26,KHI,32,31,3
BSBR26KHI034,BR26,KHI,34,16,3
BSBR26SKO10Y,BR26,SKO,10Y,23,4
BSBR26SKO12Y,BR26,SKO,12Y,30,5
BSBR26TRN032,BR26,TRN,32,16,3
BTB166AQS10Y,B166,AQS,10Y,16,3
BTB166RED12Y,B166,RED,12Y,25,3
BTB166WGN10Y,B166,WGN,10Y,32,3
BTB166WGN14Y,B166,WGN,14Y,20,3
BTB182BLK10Y,B182,BLK,10Y,41,7
BTB182BLK12Y,B182,BLK,12Y,40,7
BTB182BLK14Y,B182,BLK,14Y,78,10
BTB182BRD12Y,B182,BRD,12Y,35,6
BTB182BRD14Y,B182,BRD,14Y,79,10
BTB182GVE10Y459,B182,GVE,10Y,36,6
BTB182GVE12Y459,B182,GVE,12Y,56,10
BTB182GVE14Y459,B182,GVE,14Y,84,10
BTB182MNB12Y,B182,MNB,12Y,51,9
BTB182MNB14Y,B182,MNB,14Y,95,10
BTB182MTG10Y,B182,MTG,10Y,21,4
BTB182MTG12Y,B182,MTG,12Y,42,7
BTB182MTG14Y,B182,MTG,14Y,86,10
BTB182TEL10Y459,B182,TEL,10Y,36,6
BTB182TEL12Y459,B182,TEL,12Y,56,10
BTB182TEL14Y459,B182,TEL,14Y,84,10
BTB196BLK08Y499,B196,BLK,08Y,52,9
BTB196BLK10Y499,B196,BLK,10Y,114,19
BTB196BLK12Y499,B196,BLK,12Y,180,20
BTB196BLK14Y499,B196,BLK,14Y,246,10
BTB196NYB08Y499,B196,NYB,08Y,52,9
BTB196NYB10Y499,B196,NYB,10Y,114,19
BTB196NYB12Y499,B196,NYB,12Y,180,20
BTB196NYB14Y499,B196,NYB,14Y,246,10
BTB196RED08Y499,B196,RED,08Y,52,9
BTB196RED10Y499,B196,RED,10Y,114,19
BTB196RED12Y499,B196,RED,12Y,180,20
BTB196RED14Y499,B196,RED,14Y,246,10
BTB196SDL08Y499,B196,SDL,08Y,64,11
BTB196SDL10Y499,B196,SDL,10Y,129,20
BTB196SDL12Y499,B196,SDL,12Y,195,20
BTB196SDL14Y499,B196,SDL,14Y,261,10
BTB196SKY08Y499,B196,SKY,08Y,60,10
BTB196SKY10Y499,B196,SKY,10Y,123,20
BTB196SKY12Y499,B196,SKY,12Y,189,20
BTB196SKY14Y499,B196,SKY,14Y,255,10
BTB196TEL08Y499,B196,TEL,08Y,60,10
BTB196TEL10Y499,B196,TEL,10Y,126,20
BTB196TEL12Y499,B196,TEL,12Y,192,20
BTB196TEL14Y499,B196,TEL,14Y,258,10
BTB197BLK08Y599,B197,BLK,08Y,21,4
BTB197BLK10Y599,B197,BLK,10Y,43,7
BTB197BLK12Y599,B197,BLK,12Y,65,11
BTB197BLK14Y599,B197,BLK,14Y,89,10
BTB197NYB08Y599,B197,NYB,08Y,15,3
BTB197NYB10Y599,B197,NYB,10Y,37,6
BTB197NYB12Y599,B197,NYB,12Y,57,10
BTB197NYB14Y599,B197,NYB,14Y,80,10
BTB197RED08Y599,B197,RED,08Y,15,3
BTB197RED10Y599,B197,RED,10Y,37,6
BTB197RED12Y599,B197,RED,12Y,57,10
BTB197RED14Y599,B197,RED,14Y,80,10
