SKU,EBO_Qty,D2C_Qty,Total_Qty,Bagalur,EBO_Transfer,D2C_Transfer,Total_3PL_Transfer,Bhiwandi,Kolkata,Gurgaon
BJB137BL1030,0.0,6.0,6,6,0,0,0,0,0,0
BJB137BL1032,0.0,4.0,4,4,0,0,0,0,0,0
BJB137BL1034,0.0,17.0,17,17,0,0,0,0,0,0
BJB137BL1036,0.0,21.0,21,20,0,1,1,0,0,1
BJB137BL2030,0.0,5.0,5,5,0,0,0,0,0,0
BJB137BL2032,0.0,3.0,3,3,0,0,0,0,0,0
BJB137BL2034,0.0,14.0,14,14,0,0,0,0,0,0
BJB137BL2036,0.0,18.0,18,18,0,0,0,0,0,0
BJB137BTL030,0.0,11.0,11,11,0,0,0,0,0,0
BJB137BTL032,0.0,7.0,7,7,0,0,0,0,0,0
BJB137BTL034,0.0,12.0,12,12,0,0,0,0,0,0
BJB137BTL036,0.0,16.0,16,16,0,0,0,0,0,0
BJB137CNG030,0.0,6.0,6,6,0,0,0,0,0,0
BJB137CNG032,0.0,7.0,7,7,0,0,0,0,0,0
BJB137CNG034,0.0,12.0,12,12,0,0,0,0,0,0
BJB137CNG036,0.0,11.0,11,11,0,0,0,0,0,0
BJB137DSB030,0.0,7.0,7,7,0,0,0,0,0,0
BJB137DSB032,0.0,1.0,1,1,0,0,0,0,0,0
BJB137DSB034,0.0,10.0,10,10,0,0,0,0,0,0
BJB137DSB036,1.0,17.0,18,18,0,0,0,0,0,0
BJB137DTE030,0.0,6.0,6,6,0,0,0,0,0,0
BJB137DTE032,0.0,7.0,7,7,0,0,0,0,0,0
BJB137DTE034,0.0,13.0,13,13,0,0,0,0,0,0
BJB137DTE036,0.0,22.0,22,20,0,2,2,1,1,0
BJB139BLK030,0.0,10.0,10,10,0,0,0,0,0,0
BJB139BLK034,0.0,0.0,0,0,0,0,0,0,0,0
BJB139BLK036,0.0,0.0,0,0,0,0,0,0,0,0
BJB139BTE030,0.0,1.0,1,1,0,0,0,0,0,0
BJB139BTE032,0.0,2.0,2,2,0,0,0,0,0,0
BJB139BTE034,0.0,13.0,13,13,0,0,0,0,0,0
BJB139BTE036,0.0,6.0,6,6,0,0,0,0,0,0
BJB139LDN030,0.0,2.0,2,2,0,0,0,0,0,0
BJB139LDN034,0.0,3.0,3,3,0,0,0,0,0,0
BJB139LTG030,0.0,7.0,7,7,0,0,0,0,0,0
BJB139LTG032,0.0,3.0,3,3,0,0,0,0,0,0
BJB139LTG034,0.0,3.0,3,3,0,0,0,0,0,0
BJB139LTG036,0.0,1.0,1,1,0,0,0,0,0,0
BJB139LTN030,0.0,9.0,9,9,0,0,0,0,0,0
BJB139LTN034,0.0,0.0,0,0,0,0,0,0,0,0
BJB139LTN036,0.0,0.0,0,0,0,0,0,0,0,0
BJB139NVY030,0.0,6.0,6,6,0,0,0,0,0,0
BJB139NVY032,0.0,1.0,1,1,0,0,0,0,0,0
BJB139NVY034,0.0,1.0,1,1,0,0,0,0,0,0
BJB139NVY036,0.0,0.0,0,0,0,0,0,0,0,0
BJB164ASH08Y,0.0,6.0,6,6,0,0,0,0,0,0
BJB164ASH08Y735,0.0,15.0,15,15,0,0,0,0,0,0
BJB164ASH10Y,0.0,3.0,3,3,0,0,0,0,0,0
BJB164ASH10Y735,0.0,15.0,15,15,0,0,0,0,0,0
BJB164ASH12Y,0.0,2.0,2,2,0,0,0,0,0,0
BJB164ASH12Y735,0.0,9.0,9,9,0,0,0,0,0,0
BJB164ASH14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJB164ASH14Y735,0.0,8.0,8,8,0,0,0,0,0,0
BJB164BLK08Y,71.0,13.0,84,66,18,0,18,8,7,3
BJB164BLK08Y735,16.0,14.0,30,30,0,0,0,0,0,0
BJB164BLK10Y,11.0,19.0,30,30,0,0,0,0,0,0
BJB164BLK10Y735,19.0,11.0,30,30,0,0,0,0,0,0
BJB164BLK12Y,0.0,2.0,2,2,0,0,0,0,0,0
BJB164BLK12Y735,0.0,19.0,19,19,0,0,0,0,0,0
BJB164BLK14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJB164BLK14Y735,3.0,10.0,13,13,0,0,0,0,0,0
BJB164BTE08Y,7.0,10.0,17,17,0,0,0,0,0,0
BJB164BTE08Y735,0.0,14.0,14,14,0,0,0,0,0,0
BJB164BTE10Y,0.0,5.0,5,5,0,0,0,0,0,0
BJB164BTE10Y735,3.0,12.0,15,15,0,0,0,0,0,0
BJB164BTE12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJB164BTE12Y735,0.0,6.0,6,6,0,0,0,0,0,0
BJB164BTE14Y,0.0,0.0,0,0,0,0,0,0,0,0
BJB164BTE14Y735,0.0,6.0,6,6,0,0,0,0,0,0
BJB164CNG08Y,27.0,17.0,44,44,0,0,0,0,0,0
BJB164CNG08Y735,0.0,15.0,15,15,0,0,0,0,0,0
BJB164CNG10Y,0.0,13.0,13,13,0,0,0,0,0,0
BJB164CNG10Y735,0.0,15.0,15,15,0,0,0,0,0,0
BJB164CNG12Y,0.0,1.0,1,1,0,0,0,0,0,0
BJB164CNG12Y735,0.0,9.0,9,9,0,0,0,0,0,0
BJB164CNG14Y,0.0,1.0,1,1,0,0,0,0,0,0
BJB164CNG14Y735,0.0,6.0,6,6,0,0,0,0,0,0
BJB164NVY08Y,18.0,12.0,30,30,0,0,0,0,0,0
BJB164NVY08Y735,0.0,14.0,14,14,0,0,0,0,0,0
BJB164NVY10Y,0.0,9.0,9,9,0,0,0,0,0,0
BJB164NVY10Y735,0.0,11.0,11,11,0,0,0,0,0,0
BJB164NVY12Y,0.0,2.0,2,2,0,0,0,0,0,0
BJB164NVY12Y735,0.0,1.0,1,1,0,0,0,0,0,0
BJB164NVY14Y735,0.0,5.0,5,5,0,0,0,0,0,0
BJB205BLK08Y,44.0,39.0,83,57,14,12,26,12,10,4
BJB205BLK10Y,22.0,35.0,57,49,0,8,8,4,3,1
